"S_N0				",USER_LATITUDE,USER_LONGITUDE,USER_LOCATION,STATION NAME,OUTPUT_LATITUDE,OUTPUT_LONGITUDE,STATION_LOCATION,Distance
529,20.18337,-158.982124,"(20.18337, -158.982124)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",155.49591047209168 km
530,20.18521,-158.032156,"(20.18521, -158.03215600000001)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",122.2692556266388 km
531,20.18595,-159.414533,"(20.18595, -159.414533)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",184.94429627329623 km
532,20.18671,-155.990176,"(20.18671, -155.990176)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",20.249941934157057 km
533,20.18686,-156.029551,"(20.18686, -156.029551)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",24.261749782953583 km
534,20.18721,-158.764741,"(20.18721, -158.764741)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",143.26938069158544 km
535,20.18779,-155.494688,"(20.18779, -155.494688)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",25.70443834512425 km
536,20.18859,-157.850023,"(20.188589999999998, -157.850023)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",116.83913234060626 km
537,20.18875,-155.628467,"(20.18875, -155.628467)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",18.72271785924943 km
538,20.18938,-157.655286,"(20.18938, -157.65528600000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",100.05861980055569 km
539,20.19043,-158.911071,"(20.19043, -158.911071)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",150.6957968150407 km
540,20.19083,-159.0845,"(20.19083, -159.0845)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",161.22568376078067 km
541,20.1914,-157.569179,"(20.1914, -157.569179)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",92.9676761681177 km
542,20.19367,-155.329828,"(20.19367, -155.329828)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",40.058633163405 km
543,20.19858,-159.375749,"(20.19858, -159.375749)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",181.0500581044161 km
544,20.20128,-158.779911,"(20.20128, -158.779911)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",142.64526956499316 km
545,20.20797,-159.109027,"(20.20797, -159.109027)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",161.35602417430766 km
546,20.21109,-155.17936,"(20.21109, -155.17936)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",55.13197210856064 km
547,20.21153,-155.045001,"(20.21153, -155.045001)",Kamaaina Nissan,19.72637,-155.05767,"(19.726370000000003, -155.05767)",53.72547371717103 km
548,20.21201,-156.388784,"(20.21201, -156.38878400000002)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",52.13939515837441 km
549,20.21317,-156.277669,"(20.21317, -156.277669)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",49.73820663333616 km
550,20.21322,-155.149242,"(20.21322, -155.149242)",Kamaaina Nissan,19.72637,-155.05767,"(19.726370000000003, -155.05767)",54.74179174675542 km
551,20.21476,-156.538861,"(20.214760000000002, -156.538861)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",52.50583331361804 km
552,20.21596,-158.955297,"(20.21596, -158.955297)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",150.93224682913583 km
553,20.21752,-157.571387,"(20.21752, -157.57138700000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",91.26955019109671 km
554,20.21819,-157.910667,"(20.21819, -157.910667)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",117.00126853179776 km
555,20.21921,-157.92737,"(20.21921, -157.92737)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",117.03992340724223 km
556,20.22033,-158.861945,"(20.22033, -158.861945)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",145.14798379381764 km
557,20.22071,-156.409793,"(20.22071, -156.409793)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",50.98859403829029 km
558,20.22178,-156.874729,"(20.22178, -156.874729)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",57.679290394145504 km
559,20.22219,-155.326672,"(20.222189999999998, -155.326672)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",41.92237275868792 km
560,20.22328,-156.880332,"(20.22328, -156.880332)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",57.49300087582715 km
561,20.22444,-159.503909,"(20.224439999999998, -159.50390900000002)",Marriott's Waiohai Beach Club,21.87506,-159.456768,"(21.87506, -159.45676799999998)",182.81856457024003 km
562,20.22845,-158.967926,"(20.22845, -158.967926)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",150.56702489518543 km
563,20.2289,-157.305546,"(20.2289, -157.305546)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",71.06537469710828 km
564,20.22963,-157.791682,"(20.22963, -157.791682)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",109.26492498445332 km
565,20.23137,-158.96896,"(20.231370000000002, -158.96896)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",150.36768819226162 km
566,20.23145,-157.593389,"(20.23145, -157.593389)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",92.09345556255796 km
567,20.23195,-158.287544,"(20.23195, -158.287544)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",122.91721818719779 km
568,20.23267,-156.647941,"(20.232670000000002, -156.647941)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",53.99012443317362 km
569,20.23297,-158.372312,"(20.23297, -158.37231200000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",124.35496192933434 km
570,20.23303,-155.486843,"(20.23303, -155.486843)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",29.98777083373427 km
571,20.23382,-159.283307,"(20.23382, -159.283307)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",171.4379875782506 km
572,20.23417,-158.638676,"(20.234170000000002, -158.638676)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",132.85031791675843 km
573,20.23482,-156.492896,"(20.234820000000003, -156.492896)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",49.59246164515741 km
574,20.24007,-155.378788,"(20.240070000000003, -155.378788)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",38.60398621444371 km
575,20.24064,-156.874271,"(20.24064, -156.874271)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",55.595055875380176 km
576,20.24092,-157.343651,"(20.240920000000003, -157.343651)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",72.49465123189611 km
577,20.24106,-156.343421,"(20.24106, -156.343421)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",49.70762005555195 km
578,20.24115,-156.573865,"(20.24115, -156.57386499999998)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",50.50818692300394 km
579,20.24198,-158.052989,"(20.241979999999998, -158.052989)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",116.52092105741495 km
580,20.24538,-157.468804,"(20.245379999999997, -157.468804)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",81.17022269110566 km
581,20.24551,-157.344934,"(20.24551, -157.344934)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",72.19242614096066 km
582,20.24582,-156.621,"(20.245820000000002, -156.621)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",51.576295493292854 km
583,20.24626,-155.361502,"(20.24626, -155.361502)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",40.447892776878305 km
584,20.24737,-159.467918,"(20.24737, -159.467918)",Marriott's Waiohai Beach Club,21.87506,-159.456768,"(21.87506, -159.45676799999998)",180.21811071800923 km
585,20.25193,-156.767983,"(20.251929999999998, -156.76798300000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",55.93210564854696 km
586,20.25234,-157.244712,"(20.25234, -157.24471200000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",65.27443294975195 km
587,20.2527,-156.339307,"(20.2527, -156.33930700000002)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",48.541158548213794 km
588,20.25293,-157.157007,"(20.25293, -157.157007)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",60.60669457776539 km
589,20.25318,-157.772322,"(20.25318, -157.772322)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",106.18532223122656 km
590,20.25603,-156.481326,"(20.25603, -156.481326)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",47.139085398884795 km
591,20.25624,-157.723404,"(20.25624, -157.72340400000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",101.64887977123772 km
592,20.25736,-155.569303,"(20.257360000000002, -155.569303)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",24.500043888931426 km
593,20.25774,-155.275493,"(20.25774, -155.27549299999998)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",48.54363714646869 km
594,20.25965,-156.730174,"(20.25965, -156.730174)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",55.40077923934439 km
595,20.2611,-156.48998,"(20.2611, -156.48998)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",46.66716744192964 km
596,20.26321,-156.584424,"(20.26321, -156.584424)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",48.48705880010431 km
597,20.2651,-156.208412,"(20.2651, -156.208412)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",42.62854359631766 km
598,20.2656,-157.639543,"(20.2656, -157.639543)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",93.75239911699572 km
599,20.26753,-155.582103,"(20.267529999999997, -155.582103)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",23.34324617578554 km
600,20.26863,-159.010541,"(20.268629999999998, -159.010541)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",149.6782747238736 km
601,20.27075,-157.26784,"(20.27075, -157.26783999999998)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",64.9966130164688 km
602,20.27165,-157.131879,"(20.27165, -157.131879)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",57.596350361476155 km
603,20.27334,-158.796609,"(20.27334, -158.79660900000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",136.58174245943636 km
604,20.27379,-158.41674,"(20.273789999999998, -158.41674)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",121.03054857216546 km
605,20.27438,-157.420385,"(20.274379999999997, -157.420385)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",75.28435385901743 km
606,20.27439,-156.112864,"(20.27439, -156.112864)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",32.83325513360649 km
607,20.275,-157.795375,"(20.275, -157.795375)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",107.0669540883264 km
608,20.27669,-158.482723,"(20.27669, -158.482723)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",122.64861727566408 km
609,20.27687,-155.398669,"(20.276870000000002, -155.39866899999998)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",39.771955969138936 km
610,20.27715,-157.899911,"(20.27715, -157.899911)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",110.40708609348881 km
611,20.27824,-158.551056,"(20.27824, -158.55105600000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",124.85265158378405 km
612,20.27976,-156.311352,"(20.27976, -156.311352)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",46.39912641476105 km
613,20.27994,-156.668668,"(20.27994, -156.668668)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",50.20910909453051 km
614,20.28245,-156.503677,"(20.28245, -156.503677)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",44.50011505772331 km
615,20.283,-157.674501,"(20.283, -157.674501)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",95.74706280309492 km
616,20.28357,-157.652343,"(20.28357, -157.652343)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",93.76258467430337 km
617,20.28434,-156.823177,"(20.28434, -156.82317700000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",51.28481554385392 km
618,20.2852,-156.397783,"(20.2852, -156.397783)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",43.98266187710126 km
619,20.29046,-159.058748,"(20.29046, -159.058748)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",150.97555747919432 km
620,20.29119,-158.14333,"(20.29119, -158.14333)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",113.60744510997584 km
621,20.29131,-157.492541,"(20.29131, -157.492541)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",79.72103056981982 km
622,20.29195,-159.046653,"(20.29195, -159.046653)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",150.0381789934835 km
623,20.29274,-158.07183,"(20.29274, -158.07183)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",111.47084198835948 km
624,20.29725,-157.401885,"(20.29725, -157.40188500000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",72.14084718078713 km
625,20.29726,-159.257926,"(20.29726, -159.257926)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",164.60772923162307 km
626,20.29767,-158.160152,"(20.29767, -158.160152)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",113.45422027631325 km
627,20.29878,-158.103632,"(20.298779999999997, -158.103632)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",111.64619087826111 km
628,20.29917,-159.450863,"(20.29917, -159.450863)",Marriott's Waiohai Beach Club,21.87506,-159.456768,"(21.87506, -159.45676799999998)",174.48080451448897 km
629,20.30276,-156.36866,"(20.30276, -156.36866)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",42.49417757547415 km
630,20.30515,-158.154665,"(20.30515, -158.154665)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",112.48965329230992 km
631,20.30564,-159.042115,"(20.30564, -159.042115)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",148.57126595025062 km
632,20.30685,-158.548399,"(20.30685, -158.548399)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",121.79796278749117 km
633,20.31156,-157.816151,"(20.31156, -157.816151)",Kapiolani Community College Parking,21.27096,-157.79942,"(21.270960000000002, -157.79942)",106.23362494254059 km
634,20.31383,-157.07707,"(20.31383, -157.07707)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",51.03514085106229 km
635,20.31742,-155.246416,"(20.317420000000002, -155.24641599999998)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",54.789018077982476 km
636,20.31953,-158.227653,"(20.31953, -158.227653)","Costco Wholesale, Kapolei (Broken)",21.32674,-158.08756,"(21.32674, -158.08756)",112.46242319406767 km
637,20.32089,-155.539125,"(20.32089, -155.539125)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",29.231336785241133 km
638,20.32237,-157.963424,"(20.322370000000003, -157.963424)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",106.13291851292581 km
639,20.32376,-156.503013,"(20.32376, -156.50301299999998)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",39.96835444682509 km
640,20.32471,-158.012661,"(20.32471, -158.012661)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",106.71308943035724 km
641,20.32712,-156.207977,"(20.32712, -156.207977)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",43.72972630080017 km
642,20.32787,-157.164646,"(20.32787, -157.164646)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",53.725613985228485 km
643,20.32862,-158.332012,"(20.32862, -158.33201200000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",113.13508909800643 km
644,20.33048,-159.08829,"(20.330479999999998, -159.08829)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",149.66348996136972 km
645,20.33075,-159.438503,"(20.33075, -159.438503)",Marriott's Waiohai Beach Club,21.87506,-159.456768,"(21.87506, -159.45676799999998)",170.99408929229733 km
646,20.3347,-156.96864,"(20.3347, -156.96864)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",45.75127720399487 km
647,20.33754,-158.043927,"(20.33754, -158.043927)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",105.98144265965594 km
648,20.33988,-158.928194,"(20.339879999999997, -158.928194)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",138.17883271240683 km
649,20.34206,-158.509251,"(20.34206, -158.509251)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",116.7044624917618 km
650,20.34284,-158.048442,"(20.34284, -158.048442)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",105.51316705670351 km
651,20.34316,-156.881372,"(20.34316, -156.881372)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",44.224897808009054 km
652,20.34396,-158.762087,"(20.34396, -158.762087)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",128.02415453008322 km
653,20.34425,-157.554876,"(20.34425, -157.554876)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",81.56698860882183 km
654,20.34433,-155.34914,"(20.34433, -155.34913999999998)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",48.7380525370396 km
655,20.34762,-158.528486,"(20.347620000000003, -158.52848600000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",116.8375680160571 km
656,20.35198,-159.319933,"(20.351979999999998, -159.31993300000002)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",165.25356195047507 km
657,20.35236,-156.791198,"(20.35236, -156.791198)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",44.55775148169276 km
658,20.35436,-158.149005,"(20.35436, -158.14900500000002)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",107.1296974590533 km
659,20.35974,-158.601861,"(20.35974, -158.601861)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",118.59861534908036 km
660,20.36035,-155.232753,"(20.36035, -155.232753)",Waimea KTA,20.02252,-155.66733,"(20.02252, -155.66733)",58.838001281484075 km
661,20.36177,-157.804939,"(20.36177, -157.804939)",Kapiolani Community College Parking,21.27096,-157.79942,"(21.270960000000002, -157.79942)",100.66230766658491 km
662,20.36566,-158.004269,"(20.365660000000002, -158.004269)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",102.09569681677756 km
663,20.36615,-157.736543,"(20.36615, -157.73654299999998)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",96.97231813172544 km
664,20.36634,-156.764847,"(20.36634, -156.764847)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",43.84234231130814 km
665,20.37109,-156.178203,"(20.37109, -156.178203)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",42.25568309503278 km
666,20.37249,-155.411924,"(20.37249, -155.411924)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",43.67320062370734 km
667,20.37527,-156.286705,"(20.37527, -156.286705)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",37.46798594890128 km
668,20.37579,-157.146646,"(20.37579, -157.146646)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",48.22972693403695 km
669,20.3766,-156.50246,"(20.3766, -156.50246)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",34.19371274807728 km
670,20.37715,-157.093884,"(20.37715, -157.093884)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",45.35896028084227 km
671,20.37716,-155.374833,"(20.37716, -155.374833)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",47.4819066976938 km
672,20.37994,-157.62724,"(20.379939999999998, -157.62724)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",86.09269056672527 km
673,20.38058,-156.644234,"(20.38058, -156.644234)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",39.286730706209646 km
674,20.38378,-156.240181,"(20.383779999999998, -156.240181)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",39.016364098272796 km
675,20.38557,-156.234528,"(20.38557, -156.234528)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",39.17300169509844 km
676,20.38791,-157.079372,"(20.38791, -157.079372)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",43.618500956772785 km
677,20.38958,-157.114598,"(20.38958, -157.114598)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",45.182699571579 km
678,20.39125,-155.438521,"(20.39125, -155.438521)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",41.929507893659476 km
679,20.39147,-155.769009,"(20.39147, -155.769009)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",18.14649456352447 km
680,20.39312,-155.944238,"(20.39312, -155.94423799999998)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",23.332690141670003 km
681,20.39586,-157.516573,"(20.39586, -157.516573)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",75.15598424446657 km
682,20.39768,-156.96554,"(20.397679999999998, -156.96554)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",38.82861656088243 km
683,20.39865,-158.162511,"(20.39865, -158.16251100000002)",Honolulu Zoo Parking Lot (Currently DOWN),21.2716382,-157.8213834,"(21.271638199999998, -157.8213834)",102.96797553647617 km
684,20.39874,-155.453737,"(20.39874, -155.45373700000002)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",40.86640603732045 km
685,20.39961,-157.083308,"(20.39961, -157.08330800000002)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",42.64226720960111 km
686,20.40044,-155.765486,"(20.40044, -155.765486)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",19.1921667080353 km
687,20.40069,-157.488316,"(20.40069, -157.488316)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",72.35622783443036 km
688,20.40292,-156.648265,"(20.40292, -156.64826499999998)",Four Seasons Maui (Wailea),20.6802398,-156.44246,"(20.680239800000003, -156.44246)",37.46017449307377 km
689,20.40354,-155.479091,"(20.40354, -155.47909099999998)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",38.787371884171954 km
690,20.40422,-157.050127,"(20.404220000000002, -157.050127)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",40.709325239804414 km
691,20.40427,-158.917541,"(20.40427, -158.917541)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",131.8775404034338 km
692,20.40474,-159.23485,"(20.40474, -159.23485)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",154.729681458866 km
693,20.40503,-157.352508,"(20.40503, -157.352508)",Four Seasons Hotel at Manele Bay,20.74236,-156.89673,"(20.74236, -156.89673)",60.43964601166173 km
694,20.40513,-158.422544,"(20.40513, -158.422544)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",107.20144888835935 km
695,20.40585,-155.466525,"(20.40585, -155.466525)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",40.0568907517265 km
696,20.40833,-158.97627,"(20.40833, -158.97627)",Marriott's Ko Olina Beach Club,21.33114,-158.121542,"(21.331139999999998, -158.121542)",135.45921216210206 km
697,20.40919,-155.828511,"(20.40919, -155.82851100000002)",Hawaii Palm Properties in Hawi,20.23055,-155.80206,"(20.23055, -155.80206)",19.968921098583113 km
